Date,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts,Index Future Net,Index Call Net,Index Put Net,Index Net Long,Stock Future Net,Stock Call Net,Stock Put Net,Stock Net Long
01-06-2021,Pro,13907,23011,220251,75906,400798,402742,480681,440859,125229,185963,310300,93098,1348890,1423855,-9104,-79883,-38117,-50870,144345,-185071,92865,-133591
01-06-2021,TOTAL,233126,233126,2010429,2010429,1862327,1922051,1862327,1922051,759019,399232,759019,399232,7186184,7186184,0,0,0,0,0,0,0,0
01-07-2020,Client,137543,115057,438783,223445,679747,899488,651521,862899,236479,96509,166012,117759,2488549,2136693,22486,28226,36589,14123,215338,70467,-21250,307055
01-07-2020,DII,19680,16252,34498,829492,267,39353,0,0,0,0,3749,0,93798,849493,3428,267,39353,-35658,-794994,-3749,0,-798743
01-07-2020,FII,39264,53672,915405,392855,158276,213247,145027,139369,17061,15225,27292,16469,1358478,774684,-14408,13249,73878,-75037,522550,-10231,-1244,513563
01-07-2020,Pro,17942,29448,122064,64958,235688,238350,277430,388170,67846,82638,124333,60144,764528,944483,-11506,-41742,-149820,96572,57106,-56487,22494,-21875
01-07-2020,TOTAL,214429,214429,1510750,1510750,1073978,1390438,1073978,1390438,321386,194372,321386,194372,4705353,4705353,0,0,0,0,0,0,0,0
01-07-2021,Client,166694,177005,1173152,167247,907272,760658,939755,1003987,724640,210823,439855,360054,3943239,3087903,-10311,-32483,-243329,200535,1005905,284785,-149231,1439921
01-07-2021,DII,1996,57834,22166,1159827,401,24684,0,0,0,0,52597,0,49247,1270258,-55838,401,24684,-80121,-1137661,-52597,0,-1190258
01-07-2021,FII,92819,36058,669970,717991,223493,301210,120550,127693,42421,45325,66841,33734,1375238,1102867,56761,102943,173517,-13813,-48021,-24420,11591,-84032
01-07-2021,Pro,30851,21463,253829,74052,241425,320209,312285,275080,130256,227982,338024,90342,1204551,1111246,9388,-70860,45129,-106601,179777,-207768,137640,-165631
01-07-2021,TOTAL,292360,292360,2119117,2119117,1372590,1406760,1372590,1406760,897317,484130,897317,484130,6572274,6572274,0,0,0,0,0,0,0,0
01-09-2020,Client,90035,103867,545206,131636,790506,734448,693845,847356,334836,96899,205178,158620,2591930,2140502,-13832,96661,-112908,195737,413570,129658,-61721,604949
01-09-2020,DII,8159,30558,29468,728194,267,40564,0,0,0,0,2228,0,78458,760980,-22399,267,40564,-62696,-698726,-2228,0,-700954
01-09-2020,FII,85751,48809,699474,508042,180491,281166,121284,168388,16903,17283,22718,10633,1281068,879874,36942,59207,112778,-16629,191432,-5815,6650,178967
01-09-2020,Pro,21831,22542,153995,60271,232356,232684,388491,273118,66145,115892,187760,60821,822903,993003,-711,-156135,-40434,-116412,93724,-121615,55071,-82962
01-09-2020,TOTAL,205776,205776,1428143,1428143,1203620,1288862,1203620,1288862,417884,230074,417884,230074,4774359,4774359,0,0,0,0,0,0,0,0
01-10-2020,Client,98519,107382,586557,144011,440267,612196,501647,732638,291956,115399,194861,149953,2144894,1830492,-8863,-61380,-120442,50199,442546,97095,-34554,574195
01-10-2020,DII,2365,31370,29579,746021,267,40784,0,0,0,0,39,0,72995,777430,-29005,267,40784,-69522,-716442,-39,0,-716481
01-10-2020,FII,74578,37621,655445,455413,180684,257875,72427,146016,11344,18033,15909,14837,1197959,742223,36957,108257,111859,33355,200032,-4565,3196,192271
01-10-2020,Pro,23715,22804,139345,65481,154663,161555,201807,193756,64743,94111,157234,62753,638132,703835,911,-47144,-32201,-14032,73864,-92491,31358,-49985
01-10-2020,TOTAL,199177,199177,1410926,1410926,775881,1072410,775881,1072410,368043,227543,368043,227543,4053980,4053980,0,0,0,0,0,0,0,0
01-12-2020,Client,96620,132795,628934,153759,750198,1009498,762739,1063402,281592,104713,190155,136608,2871555,2439458,-36175,-12541,-53904,5188,475175,91437,-31895,598507
01-12-2020,DII,1371,40406,29569,757784,267,29744,0,0,0,0,0,0,60951,798190,-39035,267,29744,-68512,-728215,0,0,-728215
01-12-2020,FII,114881,28387,759256,574141,198588,246611,132144,184644,9863,15067,15710,12639,1344266,947665,86494,66444,61967,90971,185115,-5847,2428,176840
01-12-2020,Pro,18624,29908,149971,82046,280796,289893,334966,327700,73678,92593,159268,63126,905555,997014,-11284,-54170,-37807,-27647,67925,-85590,29467,-47132
01-12-2020,TOTAL,231496,231496,1567730,1567730,1229849,1575746,1229849,1575746,365133,212373,365133,212373,5182327,5182327,0,0,0,0,0,0,0,0
02-01-2020,Client,123136,128358,735606,210830,320823,443499,438439,620983,164523,84536,139785,108300,1872123,1646695,-5222,-117616,-177484,54646,524776,24738,-23764,573278
02-01-2020,DII,44661,35658,17665,1099112,4317,65841,0,0,0,0,654,0,132484,1135424,9003,4317,65841,-52521,-1081447,-654,0,-1082101
02-01-2020,FII,64503,53261,972264,464745,169106,228210,48060,81411,8794,14076,9318,9084,1456953,665879,11242,121046,146799,-14511,507519,-524,4992,502003
02-01-2020,Pro,14571,29594,134294,85142,135550,144663,143297,179819,47418,54613,70978,35841,531109,544671,-15023,-7747,-35156,12386,49152,-23560,18772,6820
02-01-2020,TOTAL,246871,246871,1859829,1859829,629796,882213,629796,882213,220735,153225,220735,153225,3992669,3992669,0,0,0,0,0,0,0,0
02-02-2021,Client,108357,107614,709181,146566,816911,1208680,772197,1184366,377994,145185,238334,189250,3366308,2638327,743,44714,24314,21143,562615,139660,-44065,746340
02-02-2021,DII,6986,42748,17243,800816,267,9853,0,0,0,65,1159,0,34414,844723,-35762,267,9853,-45348,-783573,-1159,65,-784797
02-02-2021,FII,79104,31746,666007,515193,247951,347654,205491,234355,22478,24787,40448,25748,1387981,1052981,47358,42460,113299,-23481,150814,-17970,-961,133805
02-02-2021,Pro,19527,31866,153395,83251,283858,366341,371299,513807,87928,122830,208459,77869,1033879,1286551,-12339,-87441,-147466,47686,70144,-120531,44961,-95348
02-02-2021,TOTAL,213974,213974,1545826,1545826,1348987,1932528,1348987,1932528,488400,292867,488400,292867,5822582,5822582,0,0,0,0,0,0,0,0
02-03-2020,Client,177359,89985,735657,152217,659950,407279,624046,664390,194889,75424,132405,109972,2250558,1773015,87374,35904,-257111,380389,583440,62484,-34548,680472
02-03-2020,DII,34118,10256,37519,1037052,18651,74975,0,0,0,0,904,0,165263,1048212,23862,18651,74975,-32462,-999533,-904,0,-1000437
