Date,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts,Index Future Net,Index Call Net,Index Put Net,Index Net Long,Stock Future Net,Stock Call Net,Stock Put Net,Stock Net Long
07-07-2021,Pro,29447,21301,262096,86108,448281,534612,423594,547266,157047,248145,370119,111469,1679628,1559856,8146,24687,-12654,45487,175988,-213072,136676,-173760
07-07-2021,TOTAL,284828,284828,2155233,2155233,2050227,2615138,2050227,2615138,1032268,558547,1032268,558547,8696241,8696241,0,0,0,0,0,0,0,0
07-08-2020,Client,108910,102021,543050,175613,535142,739889,548036,808755,368894,149440,236530,179404,2445325,2050359,6889,-12894,-68866,62861,367437,132364,-29964,529765
07-08-2020,DII,11635,37920,20399,769032,267,39104,0,0,0,0,4783,0,71405,811735,-26285,267,39104,-65122,-748633,-4783,0,-753416
07-08-2020,FII,64541,45978,797735,479146,148586,209418,97213,142121,16453,19176,21035,13019,1255909,798512,18563,51373,67297,2639,318589,-4582,6157,307850
07-08-2020,Pro,22905,22072,149724,87117,189007,234719,227753,272254,80805,112058,203804,88251,789218,901251,833,-38746,-37535,-378,62607,-122999,23807,-84199
07-08-2020,TOTAL,207991,207991,1510908,1510908,873002,1223130,873002,1223130,466152,280674,466152,280674,4561857,4561857,0,0,0,0,0,0,0,0
07-09-2020,Client,110993,109887,579790,162581,841689,734113,760430,860411,474153,125446,276326,197517,2866184,2367152,1106,81259,-126298,208663,417209,197827,-72071,687107
07-09-2020,DII,8724,27224,30942,727055,267,34438,0,0,0,0,2507,0,74371,756786,-18500,267,34438,-52671,-696113,-2507,0,-698620
07-09-2020,FII,73438,54067,682343,519377,174867,289948,128438,177988,22510,20851,30421,13502,1263957,923793,19371,46429,111960,-46160,162966,-7911,7349,147706
07-09-2020,Pro,18608,20585,180138,64200,211788,225222,339743,245322,76510,143934,263919,79212,856200,1012981,-1977,-127955,-20100,-109832,115938,-187409,64722,-136193
07-09-2020,TOTAL,211763,211763,1473213,1473213,1228611,1283721,1228611,1283721,573173,290231,573173,290231,5060712,5060712,0,0,0,0,0,0,0,0
07-10-2020,Client,109036,116361,597273,157954,797307,1128213,801658,1161846,358335,145428,244761,176408,3135592,2658988,-7325,-4351,-33633,21957,439319,113574,-30980,583873
07-10-2020,DII,2023,34259,29796,733226,267,41333,0,0,0,0,389,0,73419,767874,-32236,267,41333,-73302,-703430,-389,0,-703819
07-10-2020,FII,82677,43275,651209,462484,250528,319571,139481,194668,16949,20149,22742,16311,1341083,878961,39402,111047,124903,25546,188725,-5793,3838,179094
07-10-2020,Pro,25846,25687,151003,75617,261725,257508,368688,390111,82980,107420,190372,80278,886482,1130753,159,-106963,-132603,25799,75386,-107392,27142,-59148
07-10-2020,TOTAL,219582,219582,1429281,1429281,1309827,1746625,1309827,1746625,458264,272997,458264,272997,5436576,5436576,0,0,0,0,0,0,0,0
07-12-2020,Client,118897,137616,648307,179790,705244,1155025,730426,1189700,381884,163851,255930,192248,3173208,2685710,-18719,-25182,-34675,-9226,468517,125954,-28397,622868
07-12-2020,DII,1998,43230,31750,752239,267,29744,0,0,0,0,2519,0,63759,797988,-41232,267,29744,-70709,-720489,-2519,0,-723008
07-12-2020,FII,108963,35012,751404,562528,222456,259602,151868,198447,13595,19517,21156,16390,1375537,985401,73951,70588,61155,83384,188876,-7561,3127,178188
07-12-2020,Pro,24211,38211,158989,95893,242401,300944,288074,357168,100850,120835,216724,95565,948230,1091635,-14000,-45673,-56224,-3449,63096,-115874,25270,-78048
07-12-2020,TOTAL,254069,254069,1590450,1590450,1170368,1745315,1170368,1745315,496329,304203,496329,304203,5560734,5560734,0,0,0,0,0,0,0,0
08-01-2020,Client,129078,111852,711352,205241,715575,701608,709668,852355,226115,103817,175467,133594,2587545,2188177,17226,5907,-150747,173880,506111,50648,-29777,586536
08-01-2020,DII,46455,25795,20789,1102009,4317,67921,0,0,0,0,671,0,139482,1128475,20660,4317,67921,-42944,-1081220,-671,0,-1081891
08-01-2020,FII,71168,75338,989858,476740,193216,305666,89892,144203,13070,18012,14741,10517,1590990,811431,-4170,103324,161463,-62309,513118,-1671,7495,503952
08-01-2020,Pro,15995,49711,146046,84055,194156,217628,307704,296265,47583,68344,95889,46062,689752,879686,-33716,-113548,-78637,-68627,61991,-48306,22282,-8597
08-01-2020,TOTAL,262696,262696,1868045,1868045,1107264,1292823,1107264,1292823,286768,190173,286768,190173,5007769,5007769,0,0,0,0,0,0,0,0
08-01-2021,Client,125390,162544,683161,212252,689748,1012144,714997,1089206,463949,171782,300136,230373,3146174,2709508,-37154,-25249,-77062,14659,470909,163813,-58591,693313
08-01-2021,DII,2137,43763,18622,752667,1397,25538,0,0,267,44,1082,0,48005,797512,-41626,1397,25538,-65767,-734045,-815,44,-734904
08-01-2021,FII,114479,26070,686932,517628,180967,255594,116324,175123,25636,26580,47123,25994,1290188,908262,88409,64643,80471,72581,169304,-21487,586,147231
08-01-2021,Pro,23090,32719,179591,85759,239892,313175,280683,342122,113028,146824,254539,88863,1015600,1084685,-9629,-40791,-28947,-21473,93832,-141511,57961,-105640
08-01-2021,TOTAL,265096,265096,1568306,1568306,1112004,1606451,1112004,1606451,602880,345230,602880,345230,5499967,5499967,0,0,0,0,0,0,0,0
08-02-2021,Client,133776,126345,741289,206867,788697,1047328,768681,1092928,526373,215138,338980,254404,3452601,2788205,7431,20016,-45600,73047,534422,187393,-39266,761081
08-02-2021,DII,1277,41228,24207,801552,267,8653,0,0,0,216,4510,0,34620,847290,-39951,267,8653,-48337,-777345,-4510,216,-782071
08-02-2021,FII,75167,41959,678344,520269,204156,322860,152768,228746,35333,35277,56284,34472,1351137,1034498,33208,51388,94114,-9518,158075,-20951,805,136319
08-02-2021,Pro,24327,25015,184442,99594,302626,327035,374297,384202,127885,157657,289817,119412,1123972,1292337,-688,-71671,-57167,-15192,84848,-161932,38245,-115329
08-02-2021,TOTAL,234547,234547,1628282,1628282,1295746,1705876,1295746,1705876,689591,408288,689591,408288,5962330,5962330,0,0,0,0,0,0,0,0
08-03-2021,Client,200411,160226,773989,221816,1190991,915209,1107915,1080765,571357,158835,352372,249922,3810792,3173016,40185,83076,-165556,288817,552173,218985,-91087,862245
08-03-2021,DII,598,45288,31518,818441,267,13210,0,0,0,0,13271,0,45593,877000,-44690,267,13210,-57633,-786923,-13271,0,-800194
08-03-2021,FII,78013,67065,645484,523920,215155,330985,166507,185548,36673,34968,47953,31811,1341278,1022804,10948,48648,145437,-85841,121564,-11280,3157,107127
08-03-2021,Pro,28212,34655,197379,84193,348136,351329,480127,344420,100079,171119,294513,83189,1196254,1321097,-6443,-131991,6909,-145343,113186,-194434,87930,-169178
08-03-2021,TOTAL,307234,307234,1648370,1648370,1754549,1610733,1754549,1610733,708109,364922,708109,364922,6393917,6393917,0,0,0,0,0,0,0,0
08-04-2020,Client,81430,88226,320906,151180,459448,518631,419257,559152,104692,73765,92357,57238,1558872,1367410,-6796,40191,-40521,73916,169726,12335,16527,165534
08-04-2020,DII,43225,4561,56545,787732,4530,62007,0,0,0,0,1893,0,166307,794186,38664,4530,62007,-18813,-731187,-1893,0,-733080
08-04-2020,FII,52931,80538,985961,434629,133128,170603,98498,121823,4969,5386,5393,5012,1352978,745893,-27607,34630,48780,-41757,551332,-424,374,550534
08-04-2020,Pro,20083,24344,80655,70526,111932,123345,191283,193611,46514,30674,56532,47575,413203,583871,-4261,-79351,-70266,-13346,10129,-10018,-16901,17012
08-04-2020,TOTAL,197669,197669,1444067,1444067,709038,874586,709038,874586,156175,109825,156175,109825,3491360,3491360,0,0,0,0,0,0,0,0
08-04-2021,Client,147861,136853,876923,219857,556452,601868,570710,738738,458839,179730,296018,235429,2821673,2197605,11008,-14258,-136870,133620,657066,162821,-55699,875586
08-04-2021,DII,688,27775,21144,865896,267,7728,0,0,0,3,27665,0,29830,921336,-27087,267,7728,-34548,-844752,-27665,3,-872420
08-04-2021,FII,62459,40184,587118,482995,154913,271626,103199,130186,35334,35184,45890,34568,1146634,837022,22275,51714,141440,-67451,104123,-10556,616,92951
08-04-2021,Pro,16904,23100,166561,82998,179404,183454,217127,195752,101779,140351,226379,85271,788453,830627,-6196,-37723,-12298,-31621,83563,-124600,55080,-96117
08-04-2021,TOTAL,227912,227912,1651746,1651746,891036,1064676,891036,1064676,595952,355268,595952,355268,4786590,4786590,0,0,0,0,0,0,0,0
08-05-2020,Client,92734,107516,392037,182977,437957,389548,424411,509218,224227,102512,165848,103210,1639015,1493180,-14782,13546,-119670,118434,209060,58379,-698,268137
08-05-2020,DII,21522,7122,50778,773448,4584,61465,0,0,0,0,891,0,138349,781461,14400,4584,61465,-42481,-722670,-891,0,-723561
08-05-2020,FII,52958,50102,993356,529890,109622,175463,80275,98384,9856,13998,13946,10053,1355253,782650,2856,29347,77079,-44876,463466,-4090,3945,455431
08-05-2020,Pro,20458,22932,118604,68460,116431,135687,163908,154561,59886,62273,113284,65520,513339,588665,-2474,-47477,-18874,-31077,50144,-53398,-3247,-7
08-05-2020,TOTAL,187672,187672,1554775,1554775,668594,762163,668594,762163,293969,178783,293969,178783,3645956,3645956,0,0,0,0,0,0,0,0
08-06-2020,Client,114068,136441,430015,223009,625391,750499,612154,795527,244590,178032,195718,144243,2342595,2107092,-22373,13237,-45028,35892,207006,48872,33789,222089
08-06-2020,DII,33449,14390,59170,901575,4584,70808,0,0,13,0,1672,0,168024,917637,19059,4584,70808,-47165,-842405,-1659,0,-844064
08-06-2020,FII,63469,59088,1063446,450362,216704,226696,148409,158822,17890,18418,22610,21713,1606623,861004,4381,68295,67874,4802,613084,-4720,-3295,611659
08-06-2020,Pro,27124,28191,125405,103090,205019,182307,291135,275961,104867,82084,147360,112578,726806,958315,-1067,-86116,-93654,6471,22315,-42493,-30494,10316
08-06-2020,TOTAL,238110,238110,1678036,1678036,1051698,1230310,1051698,1230310,367360,278534,367360,278534,4844048,4844048,0,0,0,0,0,0,0,0
08-06-2021,Client,117046,154533,1077845,171863,1327213,1103021,1326019,1323779,828507,243724,482100,349785,4697356,3808079,-37487,1194,-220758,184465,905982,346407,-106061,1358450
08-06-2021,DII,2170,41578,33934,1077289,267,57602,0,0,0,0,66659,0,93973,1185526,-39408,267,57602,-96743,-1043355,-66659,0,-1110014
08-06-2021,FII,100133,19220,678890,689317,311997,359791,210199,190127,57899,70916,104785,51947,1579626,1265595,80913,101798,169664,13047,-10427,-46886,18969,-76282
08-06-2021,Pro,20666,24684,237057,89257,387991,390830,491250,397338,171427,224779,404289,137687,1432750,1544505,-4018,-103259,-6508,-100769,147800,-232862,87092,-172154
08-06-2021,TOTAL,240015,240015,2027726,2027726,2027468,1911244,2027468,1911244,1057833,539419,1057833,539419,7803705,7803705,0,0,0,0,0,0,0,0
08-07-2020,Client,132377,131203,437911,226929,751057,907318,702637,896116,299148,147624,212391,155120,2675435,2324396,1174,48420,11202,38392,210982,86757,-7496,305235
08-07-2020,DII,16775,25065,38381,804093,267,41972,0,0,0,0,7264,0,97395,836422,-8290,267,41972,-49995,-765712,-7264,0,-772976
08-07-2020,FII,63696,42331,929382,417804,196710,249298,136590,182888,24422,20893,34582,20303,1484401,834498,21365,60120,66410,15075,511578,-10160,590,500828
08-07-2020,Pro,20048,34297,130937,87785,235975,242180,344782,361764,97654,99629,166987,92723,826423,1088338,-14249,-108807,-119584,-3472,43152,-69333,6906,-33087
08-07-2020,TOTAL,232896,232896,1536611,1536611,1184009,1440768,1184009,1440768,421224,268146,421224,268146,5083654,5083654,0,0,0,0,0,0,0,0
08-07-2021,Client,179341,166810,1169208,191769,1011624,844798,1028803,1117125,890506,244937,533757,416067,4340414,3454331,12531,-17179,-272327,267679,977439,356749,-171130,1505318
08-07-2021,DII,2377,53007,26887,1176239,401,30070,0,0,0,0,67080,0,59735,1296326,-50630,401,30070,-80299,-1149352,-67080,0,-1216432
08-07-2021,FII,80441,61370,689294,708881,217886,344156,131668,153407,56868,60956,96000,49002,1449601,1200328,19071,86218,190749,-85460,-19587,-39132,11954,-70673
08-07-2021,Pro,36908,17880,274636,83136,259243,331658,328683,280151,150132,269102,400669,109926,1321679,1220444,19028,-69440,51507,-101919,191500,-250537,159176,-218213
08-07-2021,TOTAL,299067,299067,2160025,2160025,1489154,1550682,1489154,1550682,1097506,574995,1097506,574995,7171429,7171429,0,0,0,0,0,0,0,0
08-09-2020,Client,112025,114394,572935,162209,906353,762708,800867,898048,490706,130608,286915,201241,2975335,2463674,-2369,105486,-135340,238457,410726,203791,-70633,685150
08-09-2020,DII,8724,30465,31330,724107,267,34241,0,0,0,0,2937,0,74562,757509,-21741,267,34241,-55715,-692777,-2937,0,-695714
08-09-2020,FII,72709,50729,682980,518492,172299,293897,125503,177055,23963,20542,32742,13769,1266390,918290,21980,46796,116842,-48066,164488,-8779,6773,148936
08-09-2020,Pro,21209,19079,179627,62064,209987,245448,362536,261191,78694,146219,270769,82359,881184,1057998,2130,-152549,-15743,-134676,117563,-192075,63860,-138372
08-09-2020,TOTAL,214667,214667,1466872,1466872,1288906,1336294,1288906,1336294,593363,297369,593363,297369,5197471,5197471,0,0,0,0,0,0,0,0
08-10-2020,Client,96247,122358,592874,153663,466828,627312,513382,749426,378343,154368,258705,183774,2315972,1981308,-26111,-46554,-122114,49449,439211,119638,-29406,588255
08-10-2020,DII,2014,35425,29548,729589,267,41998,0,0,0,0,389,0,73827,765403,-33411,267,41998,-75142,-700041,-389,0,-700430
08-10-2020,FII,104493,49032,654969,469778,189605,290264,94291,179559,18308,21281,24771,17216,1278920,834647,55461,95314,110705,40070,185191,-6463,4065,174663
08-10-2020,Pro,29810,25749,153548,77909,155892,165393,204919,195982,85856,113561,198642,88220,704060,791421,4061,-49027,-30589,-14377,75639,-112786,25341,-62488
08-10-2020,TOTAL,232564,232564,1430939,1430939,812592,1124967,812592,1124967,482507,289210,482507,289210,4372779,4372779,0,0,0,0,0,0,0,0
08-12-2020,Client,122024,140821,647354,189308,809517,1235641,802619,1270251,413658,166592,271075,203016,3394786,2877090,-18797,6898,-34610,22711,458046,142583,-36424,637053
08-12-2020,DII,1791,45230,32280,745309,267,30003,0,0,0,0,2819,0,64341,793358,-43439,267,30003,-73175,-713029,-2819,0,-715848
08-12-2020,FII,106016,35268,753909,567705,207447,251937,145233,190629,14644,20464,22867,16820,1354417,978522,70748,62214,61308,71654,186204,-8223,3644,174337
08-12-2020,Pro,24804,33316,161707,92928,256924,309357,326303,366058,102516,129894,234057,97114,985202,1149776,-8512,-69379,-56701,-21190,68779,-131541,32780,-95542
08-12-2020,TOTAL,254635,254635,1595250,1595250,1274155,1826938,1274155,1826938,530818,316950,530818,316950,5798746,5798746,0,0,0,0,0,0,0,0
09-01-2020,Client,129739,131567,716521,210461,333172,512667,447458,676815,219902,111884,178635,137429,2023885,1782365,-1828,-114286,-164148,48034,506060,41267,-25545,572872
09-01-2020,DII,46339,33643,19689,1103263,4317,67921,0,0,0,0,663,0,138266,1137569,12696,4317,67921,-50908,-1083574,-663,0,-1084237
09-01-2020,FII,78992,70965,993307,475626,186901,279644,66732,110857,14271,21047,15112,11785,1574162,751077,8027,120169,168787,-40591,517681,-841,9262,507578
09-01-2020,Pro,19728,38623,147572,87739,128509,151714,138709,224274,54613,65954,94376,49671,568090,633392,-18895,-10200,-72560,43465,59833,-39763,16283,3787
09-01-2020,TOTAL,274798,274798,1877089,1877089,652899,1011946,652899,1011946,288786,198885,288786,198885,4304403,4304403,0,0,0,0,0,0,0,0
09-02-2021,Client,131584,128190,742302,207144,895762,1106684,859157,1149296,547681,223023,356660,262530,3647036,2962977,3394,36605,-42612,82611,535158,191021,-39507,765686
09-02-2021,DII,881,41228,23895,803008,267,8653,0,0,0,216,4832,0,33912,849068,-40347,267,8653,-48733,-779113,-4832,216,-784161
09-02-2021,FII,76392,39707,679701,519076,224727,328958,170864,242248,38267,36900,60686,35987,1384945,1068568,36685,53863,86710,3838,160625,-22419,913,137293
09-02-2021,Pro,25769,25501,186301,102971,308993,333933,399728,386684,133327,162615,297097,124237,1150938,1336218,268,-90735,-52751,-37716,83330,-163770,38378,-118818
09-02-2021,TOTAL,234626,234626,1632199,1632199,1429749,1778228,1429749,1778228,719275,422754,719275,422754,6216831,6216831,0,0,0,0,0,0,0,0
09-03-2020,Client,231606,94987,690611,207619,737424,386952,660963,663569,269673,78532,180666,118476,2394798,1926280,136619,76461,-276617,489697,482992,89007,-39944,611943
09-03-2020,DII,41297,9003,42108,1031600,18651,75961,0,0,0,0,1920,0,178017,1042523,32294,18651,75961,-25016,-989492,-1920,0,-991412
09-03-2020,FII,38422,208170,936239,532102,219437,385093,151051,150563,20688,14220,19483,11985,1614099,1073354,-169748,68386,234530,-335892,404137,1205,2235,403107
09-03-2020,Pro,26058,25223,174035,71672,152278,161654,315776,195528,43760,85433,132052,47724,643218,787975,835,-163498,-33874,-128789,102363,-88292,37709,-23638
09-03-2020,TOTAL,337383,337383,1842993,1842993,1127790,1009660,1127790,1009660,334121,178185,334121,178185,4830132,4830132,0,0,0,0,0,0,0,0
09-03-2021,Client,190919,156939,777248,205209,1136590,1059946,1095979,1164073,587200,163896,365363,256184,3915799,3243747,33980,40611,-104127,178718,572039,221837,-92288,886164
09-03-2021,DII,613,48187,29574,822299,267,13210,0,0,0,0,12868,0,43664,883354,-47574,267,13210,-60517,-792725,-12868,0,-805593
09-03-2021,FII,80477,52939,644524,540073,267985,344518,192936,189728,37529,35599,48883,33111,1410632,1057670,27538,75049,154790,-52203,104451,-11354,2488,90609
09-03-2021,Pro,22000,35944,202509,86274,325041,338043,440968,401916,104164,177088,301779,87288,1168845,1354169,-13944,-115927,-63873,-65998,116235,-197615,89800,-171180
09-03-2021,TOTAL,294009,294009,1653855,1653855,1729883,1755717,1729883,1755717,728893,376583,728893,376583,6538940,6538940,0,0,0,0,0,0,0,0
09-04-2020,Client,93256,110767,310034,174524,259561,348552,273512,433169,107141,87236,97576,63226,1205780,1152774,-17511,-13951,-84617,53155,135510,9565,24010,121065
09-04-2020,DII,38238,6140,64410,770057,4530,61741,0,0,0,0,1893,0,168919,778090,32098,4530,61741,-25113,-705647,-1893,0,-707540
09-04-2020,FII,63410,80698,996629,430006,115383,151578,81560,98780,5165,5743,5417,5503,1337908,701964,-17288,33823,52798,-36263,566623,-252,240,566131
09-04-2020,Pro,23319,20618,85696,82182,65372,84130,89774,114052,51686,31376,59106,55626,341579,421358,2701,-24402,-29922,8221,3514,-7420,-24250,20344
09-04-2020,TOTAL,218223,218223,1456769,1456769,444846,646001,444846,646001,163992,124355,163992,124355,3054186,3054186,0,0,0,0,0,0,0,0
09-04-2021,Client,158840,136419,896238,240444,828272,779504,847154,950874,515684,184419,320285,247288,3362957,2742464,22421,-18882,-171370,174909,655794,195399,-62869,914062
09-04-2021,DII,687,29108,22965,869637,267,7728,0,0,222,3,29540,0,31872,928285,-28421,267,7728,-35882,-846672,-29318,3,-875993
09-04-2021,FII,63449,46750,585247,484614,193775,305666,140725,148802,37930,37469,50712,36188,1223536,907791,16699,53050,156864,-87115,100633,-12782,1281,86570
09-04-2021,Pro,18381,29080,179078,88833,284025,285400,318460,278622,107165,152381,260464,90796,1026430,1066255,-10699,-34435,6778,-51912,90245,-153299,61585,-124639
09-04-2021,TOTAL,241357,241357,1683528,1683528,1306339,1378298,1306339,1378298,661001,374272,661001,374272,5644795,5644795,0,0,0,0,0,0,0,0
09-06-2020,Client,120041,140464,416014,234107,754904,758677,698475,813803,262647,178257,206227,150549,2490540,2243625,-20423,56429,-55126,91132,181907,56420,27708,210619
09-06-2020,DII,32169,16804,57239,895236,4584,70808,0,0,13,0,2302,0,164813,914342,15365,4584,70808,-50859,-837997,-2289,0,-840286
09-06-2020,FII,66043,56570,1075669,442566,220735,232520,158611,165912,19528,19798,24324,22422,1634293,870405,9473,62124,66608,4989,633103,-4796,-2624,630931
09-06-2020,Pro,26786,31201,122381,99394,217708,194189,340845,276479,103921,87461,153256,112545,752446,1013720,-4415,-123137,-82290,-45262,22987,-49335,-25084,-1264
09-06-2020,TOTAL,245039,245039,1671303,1671303,1197931,1256194,1197931,1256194,386109,285516,386109,285516,5042092,5042092,0,0,0,0,0,0,0,0
09-06-2021,Client,109738,156378,1065416,168407,1554979,1079361,1465622,1294595,893685,231999,504614,362411,4935178,3952027,-46640,89357,-215234,257951,897009,389071,-130412,1416492
09-06-2021,DII,2170,40176,31412,1071656,267,56777,0,0,0,0,70797,0,90626,1182629,-38006,267,56777,-94516,-1040244,-70797,0,-1111041
09-06-2021,FII,102685,17100,685002,694562,281911,317183,214810,191429,58273,75910,113463,52901,1520964,1284265,85585,67101,125754,26932,-9560,-55190,23009,-87759
09-06-2021,Pro,22638,23577,240609,87814,397696,399050,554421,366347,175086,244123,438170,136720,1479202,1607049,-939,-156725,32703,-190367,152795,-263084,107403,-217692
09-06-2021,TOTAL,237231,237231,2022439,2022439,2234853,1852371,2234853,1852371,1127044,552032,1127044,552032,8025970,8025970,0,0,0,0,0,0,0,0
09-07-2020,Client,126279,138938,451125,222266,365419,595520,412036,630593,318396,165430,228444,164244,2022169,1796521,-12659,-46617,-35073,-24203,228859,89952,1186,317625
09-07-2020,DII,16846,25413,37662,802855,267,41972,0,0,0,0,7630,0,96747,835898,-8567,267,41972,-50272,-765193,-7630,0,-772823
09-07-2020,FII,78735,41242,918215,420945,157718,207011,104228,147852,25828,21842,35923,21187,1409349,771377,37493,53490,59159,31824,497270,-10095,655,486520
09-07-2020,Pro,21227,37494,132039,92975,166969,168100,174109,234158,104574,102470,176801,104311,695379,819848,-16267,-7140,-66058,42651,39064,-72227,-1841,-31322
09-07-2020,TOTAL,243087,243087,1539041,1539041,690373,1012603,690373,1012603,448798,289742,448798,289742,4223644,4223644,0,0,0,0,0,0,0,0
09-07-2021,Client,178386,158223,1180169,192773,1373780,1060855,1401776,1395242,917034,252758,553616,419567,4962982,4121197,20163,-27996,-334387,326554,987396,363418,-166809,1517623
09-07-2021,DII,2383,53097,25765,1187121,401,26570,0,0,0,0,71910,0,55119,1312128,-50714,401,26570,-76883,-1161356,-71910,0,-1233266
09-07-2021,FII,78173,64280,687321,705530,341014,409771,233192,179345,57858,62234,98740,51270,1636371,1332356,13893,107822,230426,-108711,-18209,-40882,10964,-70055
09-07-2021,Pro,36678,20020,276618,84449,375577,430737,455804,353346,154207,271078,404833,115233,1544895,1433685,16658,-80227,77391,-140960,192169,-250626,155845,-214302
09-07-2021,TOTAL,295620,295620,2169873,2169873,2090771,1927933,2090771,1927933,1129099,586070,1129099,586070,8199366,8199366,0,0,0,0,0,0,0,0
09-09-2020,Client,110768,106860,584549,153048,1060164,814831,885684,958585,510993,132063,298817,203868,3213368,2606862,3908,174480,-143754,322142,431501,212176,-71805,715482
09-09-2020,DII,8342,23675,28019,736113,267,34241,0,0,0,0,2937,0,70869,762725,-15333,267,34241,-49307,-708094,-2937,0,-711031
09-09-2020,FII,67979,56123,687318,523907,192238,319880,151401,181176,24757,21688,34134,14352,1313860,961093,11856,40837,138704,-86011,163411,-9377,7336,146698
09-09-2020,Pro,22399,22830,182671,69489,252834,273607,468418,302798,76533,146859,276395,82390,954903,1222320,-431,-215584,-29191,-186824,113182,-199862,64469,-151149
09-09-2020,TOTAL,209488,209488,1482557,1482557,1505503,1442559,1505503,1442559,612283,300610,612283,300610,5553000,5553000,0,0,0,0,0,0,0,0
09-10-2020,Client,106891,131157,601318,153862,589543,909931,631181,987187,394610,165304,271986,191638,2767597,2367011,-24266,-41638,-77256,11352,447456,122624,-26334,596414
09-10-2020,DII,1985,35203,29638,730356,267,41712,0,0,0,0,389,0,73602,765948,-33218,267,41712,-74663,-700718,-389,0,-701107
09-10-2020,FII,108821,43249,650375,474239,219611,319739,120749,209872,20175,21757,26221,17846,1340478,892176,65572,98862,109867,54567,176136,-6046,3911,166179
09-10-2020,Pro,27150,35238,160741,83615,193853,219965,251344,294288,94653,117587,210842,95164,813949,970491,-8088,-57491,-74323,8744,77126,-116189,22423,-61486
09-10-2020,TOTAL,244847,244847,1442072,1442072,1003274,1491347,1003274,1491347,509438,304648,509438,304648,4995626,4995626,0,0,0,0,0,0,0,0
09-11-2020,Client,129820,139546,616074,207812,602001,1111293,640517,1105687,362929,189969,264666,175239,3012086,2533467,-9726,-38516,5606,-53848,408262,98263,14730,491795
09-11-2020,DII,3522,35254,30256,775945,267,30396,0,0,0,18,2045,0,64459,813244,-31732,267,30396,-61861,-745689,-2045,18,-747752
09-11-2020,FII,93820,40168,773330,488871,206785,319515,123181,236200,16246,18780,23213,17082,1428476,928715,53652,83604,83315,53941,284459,-6967,1698,275794
09-11-2020,Pro,19962,32156,149857,96889,239943,274862,285298,394179,102890,96016,192141,112462,883530,1113125,-12194,-45355,-119317,61768,52968,-89251,-16446,-19837
09-11-2020,TOTAL,247124,247124,1569517,1569517,1048996,1736066,1048996,1736066,482065,304783,482065,304783,5388551,5388551,0,0,0,0,0,0,0,0
09-12-2020,Client,125639,149587,649507,192137,768445,1411667,798199,1376320,418310,179660,280004,211808,3553228,3008055,-23948,-29754,35347,-89049,457370,138306,-32148,627824
09-12-2020,DII,2321,45230,31850,739761,267,30003,0,0,373,0,2838,0,64814,787829,-42909,267,30003,-72645,-707911,-2465,0,-710376
09-12-2020,FII,109047,32370,744867,566411,220831,264174,149418,210154,15476,20822,22754,16616,1375217,997723,76677,71413,54020,94070,178456,-7278,4206,166972
09-12-2020,Pro,24694,34514,162484,90399,275790,315090,317716,434460,106687,131616,235250,103674,1016361,1216013,-9820,-41926,-119370,67624,72085,-128563,27942,-84420
09-12-2020,TOTAL,261701,261701,1588708,1588708,1265333,2020934,1265333,2020934,540846,332098,540846,332098,6009620,6009620,0,0,0,0,0,0,0,0
10-01-2020,Client,120808,127207,715287,210877,442686,577257,540706,755653,227888,116044,186446,141018,2199970,1961907,-6399,-98020,-178396,73977,504410,41442,-24974,570826
10-01-2020,DII,46339,33643,21291,1096291,4317,67921,0,0,50,0,663,0,139918,1130597,12696,4317,67921,-50908,-1075000,-613,0,-1075613
10-01-2020,FII,83447,72215,998596,485019,199592,298587,77623,122745,14961,21975,16000,12944,1617158,786546,11232,121969,175842,-42641,513577,-1039,9031,503507
10-01-2020,Pro,18791,36320,146478,89465,141515,174654,169781,240021,57182,66959,96972,51016,605579,683575,-17529,-28266,-65367,19572,57013,-39790,15943,1280
10-01-2020,TOTAL,269385,269385,1881652,1881652,788110,1118419,788110,1118419,300081,204978,300081,204978,4562625,4562625,0,0,0,0,0,0,0,0
10-02-2020,Client,186539,77939,799172,248673,587137,594413,608484,789448,322148,126907,226390,155129,2616316,2106063,108600,-21347,-195035,282288,550499,95758,-28222,674479
10-02-2020,DII,29224,18451,37223,1043362,4317,83777,0,0,3365,0,856,0,157906,1062669,10773,4317,83777,-68687,-1006139,2509,0,-1003630
10-02-2020,FII,28400,145288,979154,600844,185184,293382,87254,124592,16431,17785,17703,12778,1520336,988459,-116888,97930,168790,-187748,378310,-1272,5007,372031
10-02-2020,Pro,15479,17964,173416,96086,142581,163806,223481,221338,55945,83048,152940,59833,634275,771642,-2485,-80900,-57532,-25853,77330,-96995,23215,-42880
10-02-2020,TOTAL,259642,259642,1988965,1988965,919219,1135378,919219,1135378,397889,227740,397889,227740,4928833,4928833,0,0,0,0,0,0,0,0
10-02-2021,Client,128826,126103,744375,203189,1058146,1160829,991231,1193994,576729,228345,375524,270408,3897250,3160449,2723,66915,-33165,102803,541186,201205,-42063,784454
10-02-2021,DII,868,41812,22704,803690,267,8653,0,0,0,216,4832,0,32708,850334,-40944,267,8653,-49330,-780986,-4832,216,-786034
